drug_1_name,drug_2_name,weight
Vardenafil,Telmisartan,1
Clonidine,Pentoxifylline,1
Clomipramine,Mirabegron,1
Desipramine,Perampanel,1
Levodopa,Hydralazine,1
Interferon alfa-n3,Methadone,1
Caffeine,Deferasirox,1
Flurbiprofen,Acenocoumarol,1
Dextroamphetamine,Fluspirilene,1
Deferasirox,Tolvaptan,1
Saquinavir,Rolapitant,1
Tacrine,Pizotifen,1
Minocycline,Doxepin,1
Torasemide,Phenobarbital,1
Octreotide,Quinidine,1
Fondaparinux,Heparin,1
Budesonide,Ceritinib,1
Ethanol,Quazepam,1
Irinotecan,Idelalisib,1
Phenelzine,Bretylium,1
Lorazepam,Tasimelteon,1
Docetaxel,Sipuleucel-T,1
Brimonidine,Quinapril,1
Progesterone,Warfarin,1
Norepinephrine,Dihydrocodeine,1
Abciximab,Sulindac,1
Fosphenytoin,Cannabidiol,1
Itraconazole,Fosphenytoin,1
Lorazepam,Atropine,1
Buprenorphine,Eluxadoline,1
Ketoconazole,Crizotinib,1
Hydrochlorothiazide,Chlorpheniramine,1
Clomipramine,Tedizolid phosphate,1
Aldesleukin,Amlodipine,1
Norethisterone,Human C1-esterase inhibitor,1
Aprepitant,Levomilnacipran,1
Itraconazole,Estazolam,1
Trastuzumab,Mitomycin,1
Pimozide,Rufinamide,1
Fluvastatin,Bezafibrate,1
Perampanel,Sodium oxybate,1
Formoterol,Aminophylline,1
Benzphetamine,Thiothixene,1
Midodrine,Acetaminophen,1
Methylphenidate,Eprosartan,1
Doxylamine,Desflurane,1
Doxorubicin,Tesmilifene,1
Valsartan,Isosorbide,1
Clarithromycin,Estazolam,1
Medroxyprogesterone acetate,Acenocoumarol,1
Sunitinib,Colchicine,1
Fluphenazine,Trazodone,1
Mifepristone,Eliglustat,1
Octreotide,Vemurafenib,1
Tamoxifen,Abiraterone,1
Citalopram,Promazine,1
Nisoldipine,Atosiban,1
Efavirenz,Hydrocodone,1
Testosterone,Mifepristone,1
Phenelzine,Almotriptan,1
Hyaluronidase (ovine),Budesonide,1
Sertraline,Glucosamine,1
Betamethasone,Chlorpropamide,1
Digoxin,Glycopyrronium,1
Ridogrel,Rivaroxaban,1
Demeclocycline,Iron sucrose,1
Phenytoin,Propafenone,1
Cilostazol,Isavuconazonium,1
Natalizumab,Dexamethasone,1
Stiripentol,Brexpiprazole,1
Pramipexole,Azelastine,1
Boceprevir,Vemurafenib,1
Phenylpropanolamine,Formoterol,1
Ritonavir,Clopidogrel,1
Vitamin C,Norethisterone,1
Ranolazine,Carfilzomib,1
Ritonavir,Fentanyl,1
Oxaprozin,Dasatinib,1
Desipramine,Sodium oxybate,1
Levonorgestrel,Tolbutamide,1
Nevirapine,Fosamprenavir,1
Amphetamine,Orciprenaline,1
Indomethacin,Citric acid,1
Haloperidol,Rasagiline,1
Ridogrel,Floctafenine,1
Clotrimazole,Pimozide,1
Paroxetine,Sunitinib,1
Tolterodine,Simeprevir,1
Rifapentine,Vortioxetine,1
Secobarbital,Nitrendipine,1
Metoclopramide,Aripiprazole,1
Domperidone,Cobicistat,1
Dofetilide,Bumetanide,1
Dronedarone,Ibrutinib,1
Celecoxib,Dalteparin,1
Cimetidine,Doxepin,1
Pimecrolimus,Ifosfamide,1
Insulin lispro,Norgestimate,1
Doxylamine,Dronabinol,1
Orciprenaline,Terbutaline,1
Benazepril,Molsidomine,1
Methylprednisolone,Boceprevir,1
Quetiapine,Vildagliptin,1
Trichlormethiazide,Alogliptin,1
Prucalopride,Dienogest,1
Voriconazole,Nicardipine,1
Tramadol,Telaprevir,1
Pimozide,Fosamprenavir,1
Fluphenazine,Umeclidinium,1
Irbesartan,Obinutuzumab,1
Lapatinib,Tesmilifene,1
Tacrolimus,Fosphenytoin,1
Phenytoin,Ketoconazole,1
Itraconazole,Daclatasvir,1
Desipramine,Rotigotine,1
Insulin lispro,Albiglutide,1
Benzquinamide,Vortioxetine,1
Dronabinol,Tranylcypromine,1
Clorazepic acid,Magnesium sulfate,1
Tesmilifene,Riociguat,1
Ospemifene,Ceritinib,1
Promazine,Maprotiline,1
Levothyroxine,Magnesium chloride,1
Hydrocortisone,Insulin aspart,1
Tacrolimus,Oxaprozin,1
Pindolol,Diazoxide,1
Meclizine,Tapentadol,1
Betaxolol,Butabarbital,1
Gentamicin,Amdinocillin,1
Nisoldipine,Mitotane,1
St. John's Wort,Hydroxyprogesterone caproate,1
Topiramate,Levocetirizine,1
Aminophylline,Bromazepam,1
Alfentanil,Trichlormethiazide,1
Acarbose,Sparfloxacin,1
Mefenamic acid,Perindopril,1
Aprepitant,Dabrafenib,1
Carphenazine,Metamfetamine,1
Chlorthalidone,Sulpiride,1
Felodipine,Levodopa,1
Ethanol,Pimozide,1
Olanzapine,Cloxazolam,1
Loxapine,Naratriptan,1
Repaglinide,Methotrimeprazine,1
Propranolol,Vemurafenib,1
Abciximab,Drospirenone,1
Methyclothiazide,Butabarbital,1
Phenytoin,Etacrynic acid,1
Mecamylamine,Sulfoxone,1
Tenecteplase,Dalteparin,1
Triflupromazine,Dextromethorphan,1
Bortezomib,Stiripentol,1
Mifepristone,Nifedipine,1
Methylprednisolone,Nicorandil,1
Candesartan cilexetil,Diazoxide,1
Tranylcypromine,Exenatide,1
Acenocoumarol,Ticagrelor,1
Ticlopidine,Sulodexide,1
Tadalafil,Hydrochlorothiazide,1
Fludrocortisone,Saxagliptin,1
Fluconazole,Omeprazole,1
Imatinib,Tesmilifene,1
Primidone,Buprenorphine,1
Itraconazole,Sonidegib,1
Anistreplase,Apixaban,1
Iloperidone,Sodium oxybate,1
Phenobarbital,Rilpivirine,1
Paroxetine,Ethotoin,1
Temsirolimus,Idelalisib,1
Chlorothiazide,Glyburide,1
Mycophenolate mofetil,Azidocillin,1
Amikacin,Cefdinir,1
Fondaparinux,Floctafenine,1
Methylphenidate,Haloperidol,1
Tranylcypromine,Diethylpropion,1
Cabazitaxel,Ceritinib,1
Warfarin,Dabigatran etexilate,1
Fluconazole,Clopidogrel,1
Diltiazem,Primidone,1
Digoxin,Tolmetin,1
Tacrolimus,Afatinib,1
Droperidol,Cimetropium,1
Remoxipride,Vilazodone,1
Hydromorphone,Isocarboxazid,1
Butorphanol,Azelastine,1
Tamsulosin,Cinacalcet,1
Pizotifen,Aclidinium,1
Natalizumab,Thiotepa,1
Triamcinolone,Insulin detemir,1
Interferon alfacon-1,Zidovudine,1
Triamterene,Moxonidine,1
Loxapine,Methotrimeprazine,1
Disopyramide,Fosaprepitant,1
Pentobarbital,Candesartan cilexetil,1
Itraconazole,Lacosamide,1
Treprostinil,Eplerenone,1
Calcitriol,Simeprevir,1
Paroxetine,Fexofenadine,1
Efavirenz,Fentanyl,1
Trimipramine,Cathinone,1
Ibritumomab tiuxetan,Sulindac,1
Dextroamphetamine,Molindone,1
Interferon alfacon-1,Metamizole,1
Flupentixol,Vortioxetine,1
Oxybutynin,Atazanavir,1
Nortriptyline,Sertindole,1
Framycetin,Cefprozil,1
Rifapentine,Linagliptin,1
Triamterene,Pentazocine,1
Amphetamine,Amitriptyline,1
Delavirdine,Vortioxetine,1
Phenmetrazine,Arformoterol,1
Promazine,Selegiline,1
Perindopril,Meloxicam,1
Bretylium,Ceritinib,1
Ethoxzolamide,Oxycodone,1
Nelfinavir,Fosphenytoin,1
Hydrocortisone,Vildagliptin,1
Thioridazine,Diphenhydramine,1
Paclitaxel,Tofacitinib,1
Trospium,Itopride,1
Mupirocin,Picosulfuric acid,1
Mechlorethamine,Roflumilast,1
Ketoprofen,Aliskiren,1
Bortezomib,Esomeprazole,1
Trandolapril,Obinutuzumab,1
Tiaprofenic acid,Deferasirox,1
Gemtuzumab ozogamicin,Tofacitinib,1
Chloroquine,Bisoprolol,1
Simvastatin,Siltuximab,1
Gliquidone,Insulin degludec,1
Apomorphine,Mifepristone,1
Valsartan,Heparin,1
Clozapine,Aripiprazole,1
Fluoxetine,Metyrosine,1
Mitoxantrone,Sipuleucel-T,1
Chlorphentermine,Olodaterol,1
Warfarin,Dronedarone,1
Gliclazide,Lopinavir,1
Rifapentine,Vilazodone,1
Indapamide,Colesevelam,1
Clarithromycin,Temsirolimus,1
Tadalafil,Tipranavir,1
Norepinephrine,Arformoterol,1
Ritonavir,Salmeterol,1
Piroxicam,Deoxycholic acid,1
Bosentan,Chloroquine,1
Itraconazole,Quetiapine,1
Baclofen,Stiripentol,1
Trichlormethiazide,Solifenacin,1
Thalidomide,Levocetirizine,1
Valsartan,Eprosartan,1
Tamoxifen,Bupropion,1
Terbinafine,Nebivolol,1
Verapamil,Fosamprenavir,1
Nabilone,Ethosuximide,1
Cyclobenzaprine,Abiraterone,1
Tenofovir disoproxil,Fenoprofen,1
Citalopram,Domperidone,1
Amoxapine,Paroxetine,1
Luliconazole,Eliglustat,1
Nelfinavir,Lacosamide,1
Ondansetron,Vortioxetine,1
Eluxadoline,Butylscopolamine,1
Atomoxetine,Tipranavir,1
Fenoprofen,Edetic acid,1
Prazosin,Epinephrine,1
Tocilizumab,Bosutinib,1
Buspirone,Rifampicin,1
Bosentan,Tasimelteon,1
Metolazone,Oxcarbazepine,1
Esomeprazole,Nilotinib,1
Caffeine,Salicylic acid,1
Isocarboxazid,Eluxadoline,1
Reserpine,Moxonidine,1
Fluvoxamine,Tasimelteon,1
Zonisamide,Fusidic acid,1
Doxorubicin,Stiripentol,1
Caffeine,Iobenguane,1
Meperidine,Zuclopenthixol,1
Calcium acetate,Nimodipine,1
Hydroxyzine,Hydrocodone,1
Lenalidomide,Vedolizumab,1
Magnesium sulfate,Oxazepam,1
Mercaptopurine,Roflumilast,1
Fluoxetine,Tedizolid phosphate,1
Desmopressin,Hydrocortisone,1
Baclofen,Trimipramine,1
Ethoxzolamide,Butorphanol,1
Nortriptyline,Magnesium sulfate,1
Conivaptan,Atazanavir,1
Dasatinib,Dabrafenib,1
Probenecid,Norfloxacin,1
Mitotane,Felodipine,1
Midazolam,Ketoconazole,1
Deferasirox,Ospemifene,1
Ropinirole,Flurazepam,1
Temazepam,Methadone,1
Insulin lispro,Bromocriptine,1
Dasatinib,Sodium bicarbonate,1
Phenytoin,Darunavir,1
Vincristine,Carbamazepine,1
Flutamide,Choline C 11,1
Nelfinavir,Vinorelbine,1
Theophylline,Chlormezanone,1
Phenytoin,Tasimelteon,1
Digoxin,Potassium Iodide,1
Fluphenazine,Rivastigmine,1
Escitalopram,Sulodexide,1
Fosphenytoin,Prenylamine,1
Kanamycin,Pivampicillin,1
Vincristine,Stiripentol,1
Zolpidem,Clorazepic acid,1
Tocilizumab,Pomalidomide,1
Venlafaxine,Fluspirilene,1
Nortriptyline,Iobenguane,1
Alprazolam,Azelastine,1
Flunarizine,Magnesium hydroxide,1
Entacapone,Paroxetine,1
Phenprocoumon,Cangrelor,1
Panobinostat,Siltuximab,1
Everolimus,Daclatasvir,1
Mexiletine,Ramelteon,1
Dutasteride,Darunavir,1
Dexmedetomidine,Butobarbital,1
Pentobarbital,Metipranolol,1
Gliclazide,Arsenic trioxide,1
Insulin lispro,Brexpiprazole,1
Cyclosporine,Pazopanib,1
Loratadine,Itopride,1
Isoflurophate,Ergoloid mesylate,1
Alogliptin,Buserelin,1
Promethazine,Lumacaftor,1
Citalopram,Terbutaline,1
Felodipine,Magnesium chloride,1
Reteplase,Ethyl biscoumacetate,1
Prednisone,Hydrocodone,1
Phenindione,Omega-3-acid ethyl esters,1
Sorafenib,Cobicistat,1
Ritodrine,Aspirin,1
Candesartan cilexetil,Pentoxifylline,1
Dapsone,Sulfamethoxazole,1
Trastuzumab,Cisplatin,1
Nisoldipine,Phentolamine,1
Zoledronic acid,Gentamicin,1
Lercanidipine,Magnesium oxide,1
Sulfisoxazole,Nimodipine,1
Magnesium sulfate,Clonazepam,1
Mirtazapine,Brimonidine,1
Valsartan,Vardenafil,1
Tamoxifen,Ospemifene,1
Metronidazole,Acenocoumarol,1
Baclofen,Butorphanol,1
Topiramate,Zolpidem,1
Indomethacin,Framycetin,1
Loxapine,Benzphetamine,1
Tranylcypromine,Empagliflozin,1
Primidone,Nadolol,1
Chlorpromazine,Selegiline,1
Indinavir,Triazolam,1
Zafirlukast,Ceritinib,1
Morphine,Nadolol,1
Phenytoin,Carbamazepine,1
Phenprocoumon,Tiaprofenic acid,1
Sertraline,Citric acid,1
Aspirin,Insulin degludec,1
Nisoldipine,Boceprevir,1
Porfimer sodium,Cobimetinib,1
Oxycodone,Tedizolid phosphate,1
Nisoldipine,Enzalutamide,1
Citalopram,Mefloquine,1
Chlorpromazine,Desvenlafaxine,1
Brimonidine,Lurasidone,1
Verapamil,Tesmilifene,1
Tacrolimus,Glyburide,1
Lorazepam,Ropinirole,1
Sulpiride,Sertraline,1
Ritonavir,Insulin human,1
Rabeprazole,Dabigatran etexilate,1
Clozapine,Trazodone,1
Temazepam,Perampanel,1
Lucinactant,Ceritinib,1
Tesmilifene,Dabigatran etexilate,1
Vincristine,Dexamethasone,1
Pioglitazone,Salicylic acid,1
Abciximab,Tipranavir,1
Fludrocortisone,Sparfloxacin,1
Doxylamine,Nitrous oxide,1
Metaraminol,Formoterol,1
Goserelin,Dofetilide,1
Hydromorphone,Brimonidine,1
Aldesleukin,Difluprednate,1
Mefenamic acid,Netilmicin,1
Vilazodone,Cobicistat,1
Tramadol,Protriptyline,1
Irbesartan,Yohimbine,1
Verapamil,Tizanidine,1
Haloperidol,Palbociclib,1
Doxepin,Chlorprothixene,1
Primidone,Captopril,1
Itraconazole,Rilpivirine,1
Clozapine,Acetohexamide,1
Tobramycin,Bumetanide,1
Bexarotene,Saxagliptin,1
Cabergoline,Levonordefrin,1
Bosentan,Gemfibrozil,1
Tranylcypromine,Betahistine,1
Phentermine,Morphine,1
Primidone,Tolvaptan,1
Tranylcypromine,Trifluoperazine,1
Labetalol,Levonordefrin,1
Butabarbital,Amrinone,1
Apomorphine,Ondansetron,1
Pentobarbital,Mannitol,1
Fluconazole,Nisoldipine,1
Potassium chloride,Fexofenadine,1
Doxylamine,Cyproheptadine,1
Edetic acid,Prasugrel,1
Demeclocycline,Strontium ranelate,1
Glyburide,Diazoxide,1
Nilotinib,Palbociclib,1
Phenelzine,Isocarboxazid,1
Moclobemide,Dapoxetine,1
Hydroxyzine,Potassium chloride,1
Metronidazole,Carbocisteine,1
Labetalol,Primidone,1
Atenolol,Heptabarbital,1
Cyclosporine,Vitamin C,1
Botulinum toxin type A,Arbekacin,1
Furosemide,Alfentanil,1
Rifapentine,Ixabepilone,1
Ixabepilone,Ceritinib,1
Leuprolide,Tolbutamide,1
Primidone,Ponatinib,1
Dicoumarol,Gemfibrozil,1
Anistreplase,Vortioxetine,1
Adalimumab,Pimecrolimus,1
Dihydroergotamine,Remoxipride,1
Meperidine,Ethanol,1
Cisapride,Idelalisib,1
Doxylamine,Potassium chloride,1
Itraconazole,Ponatinib,1
Amisulpride,Tedizolid phosphate,1
Fluvastatin,Amiodarone,1
Primidone,Etacrynic acid,1
Aminophylline,Doxofylline,1
Droperidol,Brexpiprazole,1
Silodosin,Tocilizumab,1
Pramlintide,Tiotropium,1
Ipratropium,Propantheline,1
Methadone,Pramipexole,1
Zolpidem,Pimozide,1
Tenofovir disoproxil,Mefenamic acid,1
Quinidine,Netupitant,1
Tranylcypromine,Quetiapine,1
Isometheptene,Tedizolid phosphate,1
Nelfinavir,Flutamide,1
Vardenafil,Isosorbide dinitrate,1
Chlormezanone,Quinagolide,1
Bexarotene,Tamoxifen,1
Ziprasidone,Mifepristone,1
Ramelteon,Telaprevir,1
Nicardipine,Aprepitant,1
Valproic acid,Mefloquine,1
Atracurium besylate,Quinidine,1
Primidone,Artemether,1
Desogestrel,Batimastat,1
Mitotane,Estrone sulfate,1
Gliclazide,Metreleptin,1
Lidocaine,Levobunolol,1
Citalopram,Pentosan polysulfate,1
Desipramine,Propafenone,1
Cyclobenzaprine,Sertindole,1
Tiaprofenic acid,Ethyl biscoumacetate,1
Ergometrine,Stiripentol,1
Metoprolol,Nicardipine,1
Floxuridine,Warfarin,1
Pimecrolimus,Temsirolimus,1
Trimethoprim,Benazepril,1
Goserelin,Lopinavir,1
Potassium chloride,Methotrimeprazine,1
Alprazolam,Magnesium sulfate,1
Morphine,Doxylamine,1
Nelfinavir,Corticotropin,1
Efavirenz,Etravirine,1
Tadalafil,Captopril,1
Salbutamol,Mephentermine,1
Octreotide,Guanfacine,1
Bortezomib,Primaquine,1
Mirtazapine,Lamotrigine,1
Amyl Nitrite,Nitrous acid,1
Chlorotrianisene,Armodafinil,1
Ranitidine,Itraconazole,1
Fosinopril,Sodium bicarbonate,1
Alprazolam,Aminophylline,1
Trazodone,Sertindole,1
Boceprevir,Palbociclib,1
Alprazolam,Isoflurophate,1
Telithromycin,Everolimus,1
Clarithromycin,Brentuximab vedotin,1
Saquinavir,Sunitinib,1
Ibrutinib,Stiripentol,1
Betaxolol,Nicorandil,1
Metformin,Phenelzine,1
Chlorzoxazone,Paroxetine,1
Iloperidone,Paraldehyde,1
Ropinirole,Ciprofloxacin,1
Ritonavir,Alfentanil,1
Trifluoperazine,Cathinone,1
Tiagabine,Dabrafenib,1
Zonisamide,Siltuximab,1
Ramipril,Vardenafil,1
Rifabutin,Ceritinib,1
Darunavir,Cabazitaxel,1
Tizanidine,Gemfibrozil,1
Chlordiazepoxide,Eluxadoline,1
Pentoxifylline,Hydrochlorothiazide,1
Atorvastatin,Deferasirox,1
Olanzapine,Nabilone,1
Codeine,Cinacalcet,1
Fosaprepitant,Naloxegol,1
Nimodipine,Fosamprenavir,1
Dicoumarol,Doxepin,1
Botulinum toxin type B,Botulinum toxin type A,1
Ethinylestradiol,Ethyl biscoumacetate,1
Etodolac,Deferasirox,1
Tamoxifen,Thioridazine,1
Brimonidine,Tapentadol,1
Granisetron,Doxepin,1
Ethanol,Amantadine,1
Diclofenac,Gentamicin,1
Conivaptan,Pimozide,1
St. John's Wort,Dronedarone,1
Indinavir,Estazolam,1
Aspirin,Escitalopram,1
Infliximab,Trastuzumab,1
Ketorolac,Fludrocortisone,1
Trimethobenzamide,Aclidinium,1
Desogestrel,Sulodexide,1
Eltrombopag,Magnesium citrate,1
Vancomycin,Floctafenine,1
Fondaparinux,Edoxaban,1
Butorphanol,Paraldehyde,1
Lomustine,Aripiprazole,1
Hydrocortisone,Colesevelam,1
Nilotinib,Ivabradine,1
Colistin,Neomycin,1
Potassium chloride,Cyclopentolate,1
Perindopril,Aspirin,1
Indomethacin,Sparfloxacin,1
Botulinum toxin type A,Fluphenazine,1
Tacrine,Carbinoxamine,1
Galantamine,Acetophenazine,1
Olanzapine,Rasagiline,1
Levomilnacipran,Tedizolid phosphate,1
Procyclidine,Methotrimeprazine,1
Hydrocodone,Eslicarbazepine acetate,1
Fluconazole,Fesoterodine,1
Aldesleukin,Valsartan,1
Diltiazem,Flibanserin,1
Amitriptyline,Glipizide,1
Pimecrolimus,Cabazitaxel,1
Mefloquine,Mitotane,1
Warfarin,Oxacillin,1
Fluoxetine,Chlorpromazine,1
Haloperidol,Ketoprofen,1
Spectinomycin,Oxaprozin,1
Bendroflumethiazide,Saquinavir,1
Nitroprusside,Pentoxifylline,1
Lorazepam,Azelastine,1
Nadolol,Levodopa,1
Indomethacin,Eplerenone,1
Saxagliptin,Insulin degludec,1
Clopidogrel,Nitrendipine,1
Tobramycin,Clavulanic acid,1
Cyclosporine,Butobarbital,1
Chlorpromazine,Desipramine,1
Methylphenidate,Warfarin,1
Pentosan polysulfate,Clopidogrel,1
Colistimethate,Kanamycin,1
Orciprenaline,Iobenguane,1
Telithromycin,Naloxegol,1
Theophylline,Formoterol,1
Losartan,Lithium cation,1
Mexiletine,Trifluoperazine,1
Bupropion,Clomipramine,1
Droperidol,Oxymorphone,1
Clarithromycin,Boceprevir,1
Brimonidine,Ethotoin,1
Simeprevir,Idelalisib,1
Etonogestrel,Lumacaftor,1
Dofetilide,Citalopram,1
Fusidic acid,Axitinib,1
Conivaptan,Vilazodone,1
Aripiprazole,Ticagrelor,1
Bendroflumethiazide,Dexketoprofen,1
Delavirdine,Etravirine,1
Tositumomab,Diflunisal,1
Norepinephrine,Phenylephrine,1
Ropinirole,Pipotiazine,1
Warfarin,Vorinostat,1
Streptokinase,Escitalopram,1
Ramelteon,Rifampicin,1
Risedronic acid,Ribostamycin,1
Mephentermine,Racepinephrine,1
Fluconazole,Erlotinib,1
Alfuzosin,Trandolapril,1
Codeine,Spironolactone,1
Diltiazem,Moxonidine,1
Tolcapone,Orphenadrine,1
Esmolol,Methohexital,1
Chloroquine,Panobinostat,1
Bosentan,Clorazepic acid,1
Rituximab,Roflumilast,1
Botulinum toxin type B,Brompheniramine,1
Sulfisoxazole,Warfarin,1
Amoxapine,Iobenguane,1
Zafirlukast,Warfarin,1
Ziprasidone,Gliquidone,1
Saquinavir,Apixaban,1
Brimonidine,Nabilone,1
Torasemide,Framycetin,1
Temsirolimus,Stiripentol,1
Conivaptan,Zonisamide,1
Gabapentin,Minocycline,1
Dobutamine,Aminophylline,1
Venlafaxine,Benzquinamide,1
Dapsone,Palbociclib,1
Ritonavir,Trimipramine,1
Procyclidine,Cimetropium,1
Fluconazole,Telaprevir,1
Ropinirole,Felbamate,1
Mirtazapine,Clonidine,1
Cisplatin,Etacrynic acid,1
Rifabutin,Telithromycin,1
Flurazepam,Saquinavir,1
Rosiglitazone,Deferasirox,1
Fosphenytoin,Bromazepam,1
Hydrocodone,Desloratadine,1
Chlorpropamide,Darunavir,1
Quinapril,Amifostine,1
Progesterone,Pazopanib,1
Vardenafil,Penbutolol,1
Pramlintide,Stanolone,1
Amikacin,Colistimethate,1
Metyrosine,Flunarizine,1
Droperidol,Meclizine,1
Alosetron,Idelalisib,1
Tadalafil,Phenoxybenzamine,1
Sulpiride,Iloperidone,1
Diltiazem,Yohimbine,1
Abciximab,Glucosamine,1
Hydromorphone,Rufinamide,1
Itraconazole,Solifenacin,1
Doxylamine,Ethosuximide,1
Doxepin,Rufinamide,1
Dyphylline,Bromazepam,1
Fluphenazine,Paroxetine,1
Ivacaftor,Ceritinib,1
Amlodipine,Verapamil,1
Bevacizumab,Clozapine,1
Felbamate,Idelalisib,1
Ibrutinib,Desirudin,1
Phenytoin,Atazanavir,1
Nicardipine,Magnesium chloride,1
Cyclosporine,Mitoxantrone,1
Acebutolol,Levodopa,1
Eptifibatide,Omega-3 fatty acids,1
Iron Dextran,Ofloxacin,1
Rifaximin,Abiraterone,1
Pegvisomant,Fentanyl,1
Rifabutin,Brexpiprazole,1
Oxycodone,Butorphanol,1
Cobimetinib,Tocilizumab,1
Fludarabine,Roflumilast,1
Toremifene,Voriconazole,1
Dronedarone,Netupitant,1
Procyclidine,Amoxapine,1
Citric acid,Nintedanib,1
Treprostinil,Enalaprilat,1
Norethisterone,Flibanserin,1
Methadone,Aprepitant,1
Irinotecan,Pazopanib,1
Bexarotene,Lurasidone,1
Paroxetine,Thiothixene,1
Zolpidem,Oxymorphone,1
Metoprolol,Regorafenib,1
Citalopram,Mesoridazine,1
Imatinib,Itraconazole,1
Porfimer sodium,Tretinoin,1
Lercanidipine,Phenobarbital,1
Dantrolene,Dasatinib,1
Nelfinavir,Benzphetamine,1
Nelfinavir,Tasimelteon,1
Imatinib,Rifapentine,1
Treprostinil,Dalteparin,1
Streptokinase,Fluoxetine,1
Fluticasone propionate,Cimetropium,1
